date,aqi_level,
11/25/2020,3.652173913,
11/26/2020,3.5,
11/27/2020,4.333333333,
11/28/2020,3.541666667,
11/29/2020,3.708333333,
11/30/2020,3.375,
12/1/2020,3.333333333,
12/2/2020,4.458333333,
12/3/2020,4.166666667,
12/4/2020,4.791666667,
12/5/2020,4.875,
12/6/2020,4.458333333,
12/7/2020,3.708333333,
12/8/2020,2.625,
12/9/2020,4.666666667,
12/10/2020,4.125,
12/11/2020,4.416666667,
12/12/2020,4.833333333,
12/13/2020,4.375,
12/14/2020,4.666666667,
12/15/2020,3.625,
12/16/2020,3.916666667,
12/17/2020,3.875,
12/18/2020,2.375,
12/19/2020,3.125,
12/20/2020,2.333333333,
12/21/2020,3.791666667,
12/22/2020,3.958333333,
12/23/2020,3.833333333,
12/24/2020,5,
12/25/2020,4,
12/26/2020,3.208333333,
12/27/2020,3.75,
12/28/2020,4.625,
12/29/2020,4.958333333,
12/30/2020,3.791666667,
12/31/2020,2.041666667,
1/1/2021,2.75,
1/2/2021,2.333333333,
1/3/2021,3.708333333,
1/4/2021,3.875,
1/5/2021,4.291666667,
1/6/2021,4,
1/7/2021,4,
1/8/2021,2.75,
1/9/2021,2.958333333,
1/10/2021,3.041666667,
1/11/2021,3.291666667,
1/12/2021,3.958333333,
1/13/2021,4.291666667,
1/14/2021,4.791666667,
1/15/2021,3.625,
1/16/2021,2.916666667,
1/17/2021,2,
1/18/2021,2.083333333,
1/19/2021,2.666666667,
1/20/2021,4.5,
1/21/2021,4.708333333,
1/22/2021,4.375,
1/23/2021,3.958333333,
1/24/2021,4.833333333,
1/25/2021,4.833333333,
1/26/2021,4.916666667,
1/27/2021,4,
1/28/2021,4.391304348,
1/29/2021,3.916666667,
1/30/2021,2.708333333,
1/31/2021,3.708333333,
2/1/2021,4.083333333,
2/2/2021,4.583333333,
2/3/2021,3.791666667,
2/4/2021,3.916666667,
2/5/2021,3.75,
2/6/2021,4,
2/7/2021,4,
2/8/2021,3.708333333,
2/9/2021,3.291666667,
2/10/2021,3.625,
2/11/2021,4.583333333,
2/12/2021,4.125,
2/13/2021,4.625,
2/14/2021,5,
2/15/2021,4.166666667,
2/16/2021,3.833333333,
2/17/2021,4.875,
2/18/2021,3.208333333,
2/19/2021,2.416666667,
2/20/2021,3.708333333,
2/21/2021,2.708333333,
2/22/2021,3.083333333,
2/23/2021,4.791666667,
2/24/2021,4.25,
2/25/2021,4.125,
2/26/2021,4.541666667,
2/27/2021,4.291666667,
2/28/2021,3.791666667,
3/1/2021,4.833333333,
3/2/2021,4.416666667,
3/3/2021,2.708333333,
3/4/2021,3.75,
3/5/2021,2.916666667,
3/6/2021,2.958333333,
3/7/2021,3.666666667,
3/8/2021,3.958333333,
3/9/2021,3.25,
3/10/2021,3.416666667,
3/11/2021,2.416666667,
3/12/2021,2.125,
3/13/2021,2.541666667,
3/14/2021,3,
3/15/2021,3.791666667,
3/16/2021,4.583333333,
3/17/2021,5,
3/18/2021,4.75,
3/19/2021,4.625,
3/20/2021,3.25,
3/21/2021,3.625,
3/22/2021,2.75,
3/23/2021,3.208333333,
3/24/2021,3.5,
3/25/2021,3.791666667,
3/26/2021,3.458333333,
3/27/2021,2.833333333,
3/28/2021,3.333333333,
3/29/2021,3.041666667,
3/30/2021,3.5,
3/31/2021,3.375,
4/1/2021,2.875,
4/2/2021,2.666666667,
4/3/2021,2.916666667,
4/4/2021,3.416666667,
4/5/2021,2.75,
4/6/2021,3.625,
4/7/2021,2.833333333,
4/8/2021,3.125,
4/9/2021,3.25,
4/10/2021,2.625,
4/11/2021,3.041666667,
4/12/2021,3.541666667,
4/13/2021,4.416666667,
4/14/2021,4.333333333,
4/15/2021,3.5,
4/16/2021,3.208333333,
4/17/2021,3.375,
4/18/2021,2.708333333,
4/19/2021,3.25,
4/20/2021,2.791666667,
4/21/2021,2.083333333,
4/22/2021,3.291666667,
4/23/2021,3.75,
4/24/2021,4.458333333,
4/25/2021,3.625,
4/26/2021,2.333333333,
4/27/2021,2.833333333,
4/28/2021,3.166666667,
4/29/2021,4.458333333,
4/30/2021,3.875,
5/1/2021,3.166666667,
5/2/2021,2.791666667,
5/3/2021,2.041666667,
5/4/2021,2,
5/5/2021,2.5,
5/6/2021,2.625,
5/7/2021,2.541666667,
5/8/2021,2.291666667,
5/9/2021,1.833333333,
5/10/2021,1.416666667,
5/11/2021,1.333333333,
5/12/2021,1.625,
5/13/2021,2,
5/14/2021,1.625,
5/15/2021,1.583333333,
5/16/2021,1.875,
5/17/2021,1.875,
5/18/2021,1,
5/19/2021,1.583333333,
5/20/2021,2.25,
5/21/2021,3.5,
5/22/2021,4.041666667,
5/23/2021,4.666666667,
5/24/2021,4.375,
5/25/2021,3.125,
5/26/2021,3.958333333,
5/27/2021,3.875,
5/28/2021,3.875,
5/29/2021,3.875,
5/30/2021,4.166666667,
5/31/2021,4.875,
6/1/2021,4.833333333,
6/2/2021,1.375,
6/3/2021,1,
6/4/2021,1,
6/5/2021,1.791666667,
6/6/2021,1.25,
6/7/2021,3.125,
6/8/2021,4.5,
6/9/2021,3,
6/10/2021,4.125,
6/11/2021,4.291666667,
6/12/2021,3.458333333,
6/13/2021,3.083333333,
6/14/2021,2.291666667,
6/15/2021,3,
6/16/2021,2.416666667,
6/17/2021,2.791666667,
6/18/2021,1.791666667,
6/19/2021,1,
6/20/2021,1,
6/21/2021,1,
6/22/2021,1.375,
6/23/2021,1.166666667,
6/24/2021,1.166666667,
6/25/2021,3.583333333,
6/26/2021,4.166666667,
6/27/2021,5,
6/28/2021,4.416666667,
6/29/2021,3.625,
6/30/2021,3.375,
7/1/2021,4.833333333,
7/2/2021,5,
7/3/2021,3.875,
7/4/2021,3.25,
7/5/2021,3.416666667,
7/6/2021,4.333333333,
7/7/2021,4.125,
7/8/2021,4.625,
7/9/2021,2.708333333,
7/10/2021,2.083333333,
7/11/2021,2.541666667,
7/12/2021,3.666666667,
7/13/2021,3.958333333,
7/14/2021,5,
7/15/2021,3,
7/16/2021,2.166666667,
7/17/2021,1.041666667,
7/18/2021,1.041666667,
7/19/2021,1,
7/20/2021,1.625,
7/21/2021,1.458333333,
7/22/2021,1.166666667,
7/23/2021,1.166666667,
7/24/2021,1,
7/25/2021,1.083333333,
7/26/2021,1.416666667,
7/27/2021,1.708333333,
7/28/2021,1.041666667,
7/29/2021,1,
7/30/2021,1,
7/31/2021,1,
8/1/2021,1,
8/2/2021,1.291666667,
8/3/2021,1.416666667,
8/4/2021,1,
8/5/2021,1.416666667,
8/6/2021,1.291666667,
8/7/2021,1,
8/8/2021,1.125,
8/9/2021,1.541666667,
8/10/2021,1.666666667,
8/11/2021,3.583333333,
8/12/2021,5,
8/13/2021,5,
8/14/2021,4.625,
8/15/2021,5,
8/16/2021,4.916666667,
8/17/2021,4.291666667,
8/18/2021,4.833333333,
8/19/2021,5,
8/20/2021,5,
8/21/2021,5,
8/22/2021,5,
8/23/2021,4.416666667,
8/24/2021,4.416666667,
8/25/2021,4.625,
8/26/2021,2.708333333,
8/27/2021,3.541666667,
8/28/2021,3.583333333,
8/29/2021,3.166666667,
8/30/2021,4.75,
8/31/2021,4.833333333,
9/1/2021,5,
9/2/2021,5,
9/3/2021,4.916666667,
9/4/2021,4.083333333,
9/5/2021,4.666666667,
9/6/2021,4.958333333,
9/7/2021,2.833333333,
9/8/2021,1.583333333,
9/9/2021,3.541666667,
9/10/2021,1.333333333,
9/11/2021,1.125,
9/12/2021,3.5,
9/13/2021,5,
9/14/2021,5,
9/15/2021,4.791666667,
9/16/2021,5,
9/17/2021,3.25,
9/18/2021,3.333333333,
9/19/2021,4.416666667,
9/20/2021,4.875,
9/21/2021,2.125,
9/22/2021,3.666666667,
9/23/2021,4.041666667,
9/24/2021,3.833333333,
9/25/2021,4.041666667,
9/26/2021,4.958333333,
9/27/2021,4.875,
9/28/2021,5,
9/29/2021,2.625,
9/30/2021,2.25,
10/1/2021,3.708333333,
10/2/2021,4.625,
10/3/2021,4.458333333,
10/4/2021,3.375,
10/5/2021,2.458333333,
10/6/2021,4.291666667,
10/7/2021,4.75,
10/8/2021,4.416666667,
10/9/2021,2.708333333,
10/10/2021,2.75,
10/11/2021,1.5,
10/12/2021,2.833333333,
10/13/2021,3.625,
10/14/2021,3.75,
10/15/2021,4.625,
10/16/2021,3.916666667,
10/17/2021,4.416666667,
10/18/2021,3.791666667,
10/19/2021,4,
10/20/2021,4.291666667,
10/21/2021,4.666666667,
10/22/2021,4.541666667,
10/23/2021,3,
10/24/2021,4.083333333,
10/25/2021,4.291666667,
10/26/2021,3.833333333,
10/27/2021,4.041666667,
10/28/2021,3,
10/29/2021,3.416666667,
10/30/2021,3.625,
10/31/2021,4.125,
11/1/2021,3.666666667,
11/2/2021,3.833333333,
11/3/2021,4,
11/4/2021,3.583333333,
11/5/2021,2.833333333,
11/6/2021,3.791666667,
11/7/2021,3.25,
11/8/2021,3.208333333,
11/9/2021,3.833333333,
11/10/2021,3.291666667,
11/11/2021,3.416666667,
11/12/2021,2.916666667,
11/13/2021,3.458333333,
11/14/2021,3.541666667,
11/15/2021,4.416666667,
11/16/2021,3.25,
11/17/2021,3.041666667,
11/18/2021,4.208333333,
11/19/2021,4.958333333,
11/20/2021,2.833333333,
11/21/2021,4.166666667,
11/22/2021,4.916666667,
11/23/2021,3.5,
11/24/2021,3.125,
11/25/2021,4.458333333,
11/26/2021,4.625,
11/27/2021,3.333333333,
11/28/2021,4.458333333,
11/29/2021,4.833333333,
11/30/2021,5,
12/1/2021,4.416666667,
12/2/2021,3.5,
12/3/2021,2.166666667,
12/4/2021,3.208333333,
12/5/2021,3.75,
12/6/2021,4.375,
12/7/2021,3.458333333,
12/8/2021,3.291666667,
12/9/2021,3.333333333,
12/10/2021,3.25,
12/11/2021,2.208333333,
12/12/2021,3.083333333,
12/13/2021,3.25,
12/14/2021,3.5,
12/15/2021,2.833333333,
12/16/2021,1.5,
12/17/2021,1,
12/18/2021,2.625,
12/19/2021,4.041666667,
12/20/2021,3.625,
12/21/2021,3.75,
12/22/2021,5,
12/23/2021,4.875,
12/24/2021,4.75,
12/25/2021,2.25,
12/26/2021,2.041666667,
12/27/2021,3.041666667,
12/28/2021,3.75,
12/29/2021,3.541666667,
12/30/2021,3.541666667,
12/31/2021,3.5,
1/1/2022,3.541666667,
1/2/2022,3.583333333,
1/3/2022,3.041666667,
1/4/2022,3.5,
1/5/2022,2.833333333,
1/6/2022,2.958333333,
1/7/2022,3.916666667,
1/8/2022,3.958333333,
1/9/2022,4.791666667,
1/10/2022,4.916666667,
1/11/2022,4.208333333,
1/12/2022,4.291666667,
1/13/2022,3.25,
1/14/2022,2.791666667,
1/15/2022,2.625,
1/16/2022,2.958333333,
1/17/2022,3.541666667,
1/18/2022,3.791666667,
1/19/2022,3.791666667,
1/20/2022,3.25,
1/21/2022,3.125,
1/22/2022,3.458333333,
1/23/2022,5,
1/24/2022,4.47826087,
1/25/2022,3,
1/26/2022,2.833333333,
1/27/2022,2.125,
1/28/2022,3.208333333,
1/29/2022,2.875,
1/30/2022,2.916666667,
1/31/2022,3.291666667,
2/1/2022,3.375,
2/2/2022,2.875,
2/3/2022,3.875,
2/4/2022,3.583333333,
2/5/2022,3.375,
2/6/2022,2.541666667,
2/7/2022,3.291666667,
2/8/2022,3.125,
2/9/2022,3.375,
2/10/2022,2.791666667,
2/11/2022,2.458333333,
2/12/2022,2.083333333,
2/13/2022,2.791666667,
2/14/2022,4.625,
2/15/2022,3.291666667,
2/16/2022,3.833333333,
2/17/2022,3.208333333,
2/18/2022,3.458333333,
2/19/2022,3.416666667,
2/20/2022,5,
2/21/2022,1.956521739,
2/22/2022,2.5,
2/23/2022,3.416666667,
2/24/2022,3.041666667,
2/25/2022,2.5,
2/26/2022,2.458333333,
2/27/2022,2.541666667,
2/28/2022,3.125,
3/1/2022,3.25,
3/2/2022,2.5,
3/3/2022,2.333333333,
3/4/2022,2.458333333,
3/5/2022,3.041666667,
3/6/2022,2.666666667,
3/7/2022,4.291666667,
3/8/2022,2.625,
3/9/2022,1.916666667,
3/10/2022,2.333333333,
3/11/2022,3.791666667,
3/12/2022,3.666666667,
3/13/2022,2.25,
3/14/2022,4.25,
3/15/2022,3.291666667,
3/16/2022,2.958333333,
3/17/2022,2.375,
3/18/2022,4.875,
3/19/2022,2.708333333,
3/20/2022,1.708333333,
3/21/2022,2.041666667,
3/22/2022,2.333333333,
3/23/2022,3.25,
3/24/2022,1.208333333,
3/25/2022,1.625,
3/26/2022,2.375,
3/27/2022,2.083333333,
3/28/2022,1.5,
3/29/2022,1.416666667,
3/30/2022,1.875,
3/31/2022,1.708333333,
4/1/2022,1.875,
4/2/2022,2.666666667,
4/3/2022,2.375,
4/4/2022,2,
4/5/2022,2.208333333,
4/6/2022,2.208333333,
4/7/2022,3,
4/8/2022,4.291666667,
4/9/2022,3.25,
4/10/2022,4.166666667,
4/11/2022,3.041666667,
4/12/2022,4.458333333,
4/13/2022,3.333333333,
4/14/2022,3.791666667,
4/15/2022,4.083333333,
4/16/2022,3.541666667,
4/17/2022,3.625,
4/18/2022,2.875,
4/19/2022,2.791666667,
4/20/2022,3.458333333,
4/21/2022,3.25,
4/22/2022,2.625,
4/23/2022,2.666666667,
4/24/2022,2.333333333,
4/25/2022,2.291666667,
4/26/2022,2.041666667,
4/27/2022,1.541666667,
4/28/2022,1.833333333,
4/29/2022,2.083333333,
4/30/2022,1.625,
5/1/2022,2.291666667,
5/2/2022,3.291666667,
5/3/2022,3.041666667,
5/4/2022,3.458333333,
5/5/2022,2.916666667,
5/6/2022,2.291666667,
5/7/2022,1.666666667,
